,Country Name,Country Code,GDP,population,CO2,corruption_index,female_of_total_pop,female_to_male_labor,homicide_rate,Number of Internet users,Labor force,land_area,political_regime,Tax rate,Temperature,exchange_rate,FDI,inflation,literacy_rate,ict_development_index,energy_production
77,Guinea-Bissau,GNB,1633559092.08861,2105566.0,326745.0,6.0,50.63786,77.0281985404221,,461627.0,726412.0,28120.0,1.0,25.0,28.1,623.759700911182,21940884.892,9.39383877456527,58.0,33.1,27.0
78,Guyana,GUY,14718388489.2086,808726.0,3537124.0,5.0,51.074924,63.3810704856389,16.28205,,295000.0,196850.0,2.0,25.0,26.2,208.5,440109966.139141,6.11505550109935,85.0,,4.0
79,Haiti,HTI,20253551884.6055,11584996.0,2446681.0,6.0,50.444927,86.7668209327163,13.007129,3900847.0,5237767.0,27560.0,1.0,30.0,25.0,115.630715521746,39413200.0,33.98393194707,49.0,,142.0
80,Honduras,HND,31717699764.3621,10432860.0,11159723.0,8.0,49.49866,66.0247246929267,38.245457,4256201.0,4675950.0,111890.0,2.0,30.0,24.7,24.4858737291131,758999597.634192,9.08963911525025,85.0,56.3,101.0
81,Hungary,HUN,177337436677.365,9643048.0,44353616.0,10.0,52.06605,78.5974313422838,0.7724166,8265671.0,4936209.0,91260.0,1.0,9.0,12.6,372.595833333333,-10235193158.6733,14.6081439492433,99.0,86.8,449.0
82,Iceland,ISL,28064529851.3098,382003.0,3542503.0,7.0,48.742893,89.2519138420778,0.5400516,363015.0,233608.0,100830.0,3.0,20.0,2.1,135.27990200138,1220864330.61939,8.3087551155892,99.0,94.8,335.0
83,India,IND,3416645826052.87,1417173173.0,2829644300.0,9.0,48.385757,42.5568492615457,2.9362788,600446441.0,593729164.0,2973190.0,1.0,30.0,25.2,78.6044905829916,49940258404.266,6.6990341407983,69.0,,23600.0
84,Indonesia,IDN,1319100220407.72,275501339.0,728883260.0,8.0,49.643517,65.0341199018519,,146059763.0,140931083.0,1877519.0,2.0,22.0,26.0,14849.8539362105,24702029705.0926,4.20946383402165,93.0,80.1,20464.0
85,Iraq,IRQ,264182173793.103,44496122.0,179080800.0,5.0,49.929684,15.7686069562083,,,11811525.0,434128.0,1.0,15.0,,1450.0,-2088200000.0,4.99476596381044,79.0,69.5,8916.0
86,Ireland,IRL,533140011838.276,5127170.0,38784012.0,8.0,50.448086,85.0462377658139,0.4411889,4550428.0,2712772.0,68890.0,3.0,12.5,10.4,,-1898868608.45574,7.80737540996716,99.0,88.9,146.0
87,Isle of Man,IMN,,84519.0,,,50.47055,0.0,,,,570.0,,0.0,,0.811301715827773,,,,,1.0
88,Palestine,PSE,525002447652.773,9557500.0,56118090.0,6.0,50.14469,88.5359859226619,1.9438074,7892890.0,4527473.0,21640.0,3.0,23.0,20.2,3.35961440158189,23031200000.0,4.39359665912654,98.0,91.1,495.0
89,Italy,ITA,2049737165407.98,58940425.0,338097280.0,8.0,51.26081,70.2148653476464,0.51147586,41938046.0,25661937.0,295717.0,3.0,27.81,14.4,,62728326243.5608,8.20128991161718,99.0,86.4,1469.0
90,Jamaica,JAM,17097760723.9201,2827377.0,6487594.0,7.0,50.385315,81.0350060036682,52.127274,,1559374.0,10830.0,2.0,25.0,26.0,153.426816475659,318736000.0,10.3495688391274,88.0,77.0,11.0
91,Japan,JPN,4256410760723.75,125124989.0,1053797800.0,9.0,51.395287,76.6660144238833,0.22870894,112995146.0,69278589.0,364500.0,3.0,29.74,12.4,131.498140443764,49278835164.4328,2.49770278172255,99.0,92.0,1811.0
92,Jordan,JOR,48653381780.6397,11285869.0,22912578.0,7.0,48.15204,22.3810206650415,1.0225796,,3062800.0,88794.0,0.0,20.0,19.8,0.71,1137042253.52113,4.22915568897117,93.0,78.5,33.0
93,Kazakhstan,KAZ,225496328925.494,19621972.0,271178270.0,9.0,51.916187,84.7566131175263,,16311260.0,9558863.0,2699700.0,1.0,20.0,8.1,460.165,4926602899.11,,100.0,88.9,6650.0
94,Kenya,KEN,113420008178.793,54027487.0,24851922.0,9.0,50.421883,95.8960328317373,5.274913,15335805.0,25501846.0,569140.0,2.0,30.0,25.2,117.865989201683,393583092.135275,7.65687456104604,72.0,54.2,777.0
95,Kiribati,KIR,223353014.294593,131232.0,68043.0,,51.329205,0.0,,48060.0,,810.0,,30.0,,1.44166445896522,2894134.13474996,,,45.5,1.0
96,Kuwait,KWT,175363265306.122,4268873.0,109190000.0,8.0,39.044106,55.3907022749753,,4321463.0,2462920.0,17820.0,1.0,15.0,27.6,0.306250154417754,752255305.966946,3.98064961990313,96.0,98.2,6353.0
97,Kyrgyz Republic,KGZ,11543966558.842,6974900.0,9449704.0,7.0,50.894836,67.7152003644139,,,3062214.0,191800.0,1.0,10.0,3.9,84.1162225704045,54849000.0,13.9229093174175,99.0,84.7,102.0
98,Latvia,LVA,40932030049.5644,1879383.0,6591454.0,9.0,53.68007,81.4880943669599,3.0417538,1686484.0,965500.0,62230.0,3.0,20.0,7.4,,1161689940.11093,17.3102830198815,100.0,93.8,113.0
