,Country Name,Country Code,GDP,population,CO2,corruption_index,female_of_total_pop,female_to_male_labor,homicide_rate,Number of Internet users,Labor force,land_area,political_regime,Tax rate,Temperature,exchange_rate,FDI,inflation,literacy_rate,ict_development_index,energy_production
160,South Africa,ZAF,405270850099.387,59893885.0,404053980.0,8.0,51.349533,81.499229847681,41.865726,41161350.0,25158403.0,1213090.0,2.0,27.0,18.4,16.3558534845,9194808415.59228,7.03972661255866,93.0,80.5,6313.0
161,South Sudan,SSD,,10913164.0,1833605.0,5.0,50.498238,98.9364695290079,,689405.0,4471289.0,631930.0,0.0,30.0,,534.511188691756,121500000.0,-6.68732094212652,27.0,,358.0
162,Spain,ESP,1417800466262.65,47778340.0,245613820.0,8.0,50.993423,83.7486871001623,0.6106943,44145745.0,23788645.0,499556.66,3.0,25.0,15.3,,51425057273.8367,8.39057634118627,98.0,91.4,1407.0
163,Sri Lanka,LKA,74403578363.4355,22181000.0,17327094.0,8.0,51.821606,44.6385843859551,,7600277.0,8788140.0,61860.0,2.0,30.0,27.2,,898295213.769499,49.7211021114331,91.0,69.9,151.0
164,St. Kitts and Nevis,KNA,965638864.921867,47657.0,224486.0,,51.655254,0.0,29.40775,,,260.0,,33.0,,2.7,43325552.7421315,2.66738842693243,97.0,82.3,0.0
165,St. Lucia,LCA,2343703703.7037,179857.0,470351.0,3.0,50.493458,85.0958010599266,38.96433,95538.0,100833.0,610.0,,30.0,,2.7,32968826.6517237,6.37814695133372,90.0,73.3,1.0
166,Sudan,SDN,51662241775.0629,46874204.0,22013348.0,8.0,50.030403,41.0884594407347,,12621097.0,13589630.0,1868000.0,0.0,35.0,27.6,546.75885,573504494.776,138.80846024176,74.0,,405.0
167,Suriname,SUR,3620987993.32637,618040.0,3586520.0,4.0,50.180347,69.6925740489448,5.7097692,425312.0,250230.0,156000.0,2.0,36.0,26.5,24.709174756579,-9305315.3695988,52.4460272762408,95.0,76.8,43.0
168,Sweden,SWE,591718144602.141,10486941.0,38050544.0,8.0,49.627735,89.9038188730636,1.0795734,9802763.0,5829755.0,407283.53,3.0,20.6,3.8,10.114251277564,45881781374.147,8.36929098869189,99.0,93.9,1411.0
169,Switzerland,CHE,818426550206.45,8775760.0,35380164.0,7.0,50.36489,85.6519916142558,0.48323596,8137569.0,4978943.0,39516.03,3.0,19.653,8.1,0.9548325,-10988929763.848,2.83502798644463,99.0,91.6,519.0
170,Syrian Arab Republic,SYR,,22125249.0,27635256.0,5.0,49.911118,22.2286864366804,,7432437.0,6314719.0,183630.0,0.0,28.0,,,,,86.0,49.6,191.0
171,Tajikistan,TJK,10492123387.7931,9952787.0,10017384.0,5.0,49.680916,61.6705454403223,,,2677489.0,138790.0,1.0,18.0,5.1,11.031075,174305128.239982,,100.0,,155.0
172,Thailand,THA,495423343049.622,71697030.0,270746370.0,9.0,51.405766,78.2999272342396,,55639332.0,40813511.0,510890.0,0.0,20.0,26.8,35.0613502144776,11231916012.2157,6.07741228434319,96.0,88.7,2598.0
173,Timor-Leste,TLS,3204753000.0,1341296.0,668892.0,4.0,49.006165,84.6713709397918,,378299.0,596825.0,14870.0,2.0,10.0,,1.0,-395383447.111064,,58.0,39.0,197.0
174,Togo,TGO,8341225241.45693,8848699.0,2575560.0,7.0,49.735523,94.0003348961822,,2026220.0,3165789.0,54390.0,1.0,27.0,27.5,623.759700911182,-226939149.536,7.96757361617885,60.0,40.2,126.0
175,Tonga,TON,,106858.0,189008.0,,50.537178,64.7426014933043,,,38483.0,720.0,,25.0,,2.32792982731644,7492007.08359246,10.9713652903022,99.0,58.2,0.0
176,Trinidad and Tobago,TTO,30053575132.142,1531044.0,34331736.0,6.0,50.658237,71.9186028282068,29.364283,,681265.0,5130.0,2.0,30.0,,6.75412896099475,-913501690.396033,5.82838638517959,99.0,76.6,1226.0
177,Tunisia,TUN,46303552449.3542,12356117.0,35576780.0,7.0,50.606934,38.8981442582103,,8744277.0,4445313.0,155360.0,1.0,15.0,21.4,3.1036,643213141.178691,8.30646124447623,79.0,75.4,207.0
178,Turkiye,TUR,907118435952.688,84979913.0,435684600.0,9.0,49.87953,49.3873216805689,2.5195987,65347988.0,35111887.0,769630.0,1.0,25.0,12.2,16.5488604173067,13094000000.0,72.3088359891207,,85.8,1826.0
179,Turkmenistan,TKM,56542857142.8571,6430770.0,70958350.0,5.0,50.46041,105.664982444121,,,2163083.0,469930.0,0.0,8.0,17.7,,936039710.0,,100.0,,3255.0
180,Turks and Caicos Islands,TCA,1138808881.1,45703.0,349200.0,,49.618744,0.0,,,,950.0,,0.0,,,35000000.0,,,,0.0
181,Tuvalu,TUV,59065979.0227679,11312.0,11340.0,,48.634415,0.0,,,,30.0,,,,,,,99.0,,0.0
182,Uganda,UGA,45567304608.4764,47249585.0,6021782.0,8.0,50.49342,93.3786453368699,8.531467,8836517.0,18881435.0,200520.0,1.0,30.0,23.1,3689.81738566862,2952941687.83428,7.1957888597581,73.0,34.8,979.0
183,Ukraine,UKR,160502737251.047,38000000.0,141253000.0,8.0,53.717728,0.0,3.843201,32948894.0,,579400.0,1.0,18.0,10.0,32.3423016,247000000.0,20.1836366617478,100.0,80.8,2329.0
184,United Arab Emirates,ARE,507063968273.313,9441129.0,243895220.0,7.0,30.465178,59.4600981834979,0.46982723,9287286.0,6668172.0,71020.0,0.0,9.0,28.9,3.6725,22736555479.9,4.82788859594475,90.0,96.4,9465.0
185,United Kingdom,GBR,3089072722400.14,66971395.0,318654370.0,8.0,50.597397,87.4941803709544,,63584584.0,34673438.0,241930.0,3.0,25.0,10.1,0.811301715827773,44897919400.6377,7.92204883147902,99.0,92.8,4894.0
186,United States,USA,25439700000000.0,333287557.0,5057303600.0,9.0,50.46207,83.8591440612572,6.8074665,305371298.0,170602911.0,9147420.0,3.0,25.768,9.7,1.0,388078000000.0,8.00279982052121,86.0,96.6,90604.0
187,Uruguay,URY,71177146197.4951,3422794.0,7893098.0,7.0,51.5655,76.9933955630317,8.901836,2952444.0,1775121.0,175020.0,3.0,25.0,17.7,41.1710833333333,8523456474.63216,9.10437983075437,98.0,87.1,132.0
188,Uzbekistan,UZB,80391853887.4049,35648100.0,120610190.0,9.0,49.967228,54.8103194980297,1.4054567,23837456.0,14184361.0,440650.0,1.0,15.0,14.9,11050.145422363,2497511102.62899,11.4466436998834,100.0,81.7,1730.0
189,Vanuatu,VUT,1055811723.74753,326740.0,207909.0,3.0,49.706238,77.0985471107605,,,141633.0,12190.0,2.0,0.0,,115.353916666667,10694983.2150241,7.10223129648531,84.0,67.9,1.0
190,Viet Nam,VNM,408802378904.838,98186856.0,343606620.0,8.0,50.613358,88.0278159826214,,67944025.0,56149382.0,313429.0,0.0,20.0,24.7,23271.2125,17900000000.0,3.15650749963129,94.0,80.6,2509.0
191,"Yemen, Rep.",YEM,,33696614.0,11356347.0,7.0,49.461487,8.44450329372041,,,6882832.0,527970.0,0.0,20.0,,1114.29284114183,,,68.0,,164.0
192,Zambia,ZMB,29163782138.3415,20017675.0,8921889.0,8.0,50.65505,77.4528442002079,,3747688.0,7051257.0,743390.0,2.0,30.0,21.9,16.9375943252989,-65118862.8223029,10.9932039209135,61.0,49.5,405.0
193,Zimbabwe,ZWE,27366627153.0852,16320537.0,8855981.0,9.0,52.832848,83.227220109145,6.139985,4591211.0,6560725.0,386850.0,1.0,24.72,21.8,374.954362604663,341500000.0,104.705170628667,84.0,42.7,377.0
